Asset_ID,Asset_Type,Manufacturer,Model,Serial_Number,Assigned_Employee_ID,Employee_Name,Department,Work_Location,Purchase_Date,Warranty_Expiry,OS_or_Firmware,Device_Status,Encryption,Defender_Status,Patch_Status,Last_Patch_Date,Last_Audit_Date,Warranty_Status,Compliance_Status,Notes
UE-MB-002,Mobile Phone,Apple,iPhone 15,IMEI-DEMO-3002,UE002,Demo Employee 02,Management,Pooraka Head Office,45731,46461,iOS 19,Active,Enabled,Healthy,Current,46264,46262,Active,Compliant,Company mobile
UE-MB-003,Mobile Phone,Apple,iPhone 15,IMEI-DEMO-3003,UE003,Demo Employee 03,Management,Pooraka Head Office,45752,46482,iOS 19,Active,Enabled,Healthy,Current,46264,46262,Active,Compliant,Company mobile
UE-MB-004,Mobile Phone,Apple,iPhone 15,IMEI-DEMO-3004,UE008,Demo Employee 08,Sales,Pooraka Head Office,45773,46503,iOS 19,Active,Enabled,Healthy,Current,46264,46262,Active,Compliant,Company mobile
UE-MB-005,Mobile Phone,Apple,iPhone 15,IMEI-DEMO-3005,UE009,Demo Employee 09,Sales,Pooraka Head Office,45794,46524,iOS 19,Active,Enabled,Healthy,Current,46264,46262,Active,Compliant,Company mobile
UE-MB-006,Mobile Phone,Apple,iPhone 15,IMEI-DEMO-3006,UE010,Demo Employee 10,Sales,Pooraka Head Office,45815,46545,iOS 19,Active,Enabled,Healthy,Current,46264,46262,Active,Compliant,Company mobile
UE-MB-007,Mobile Phone,Apple,iPhone 15,IMEI-DEMO-3007,UE011,Demo Employee 11,Sales,Pooraka Head Office,45836,46566,iOS 19,Active,Enabled,Healthy,Current,46264,46262,Active,Compliant,Company mobile
UE-MB-008,Mobile Phone,Apple,iPhone 15,IMEI-DEMO-3008,UE012,Demo Employee 12,Sales,Pooraka Head Office,45857,46587,iOS 19,Active,Enabled,Healthy,Current,46264,46262,Active,Compliant,Company mobile
UE-MB-009,Mobile Phone,Apple,iPhone 15,IMEI-DEMO-3009,UE020,Demo Employee 20,Construction & Project Management,Pooraka Head Office,45878,46608,iOS 19,Active,Enabled,Healthy,Current,46264,46262,Active,Compliant,Company mobile
UE-MB-010,Mobile Phone,Apple,iPhone 15,IMEI-DEMO-3010,UE021,Demo Employee 21,Construction & Project Management,Prospect Project,45899,46629,iOS 19,Active,Enabled,Healthy,Current,46264,46262,Active,Compliant,Company mobile
UE-MB-011,Mobile Phone,Apple,iPhone 15,IMEI-DEMO-3011,UE022,Demo Employee 22,Construction & Project Management,Para Hills Project,45920,46650,iOS 19,Active,Enabled,Healthy,Current,46264,46262,Active,Compliant,Company mobile
UE-MB-012,Mobile Phone,Apple,iPhone 15,IMEI-DEMO-3012,UE023,Demo Employee 23,Construction & Project Management,Prospect Project,45941,46671,iOS 19,Active,Enabled,Healthy,Current,46264,46262,Active,Compliant,Company mobile
UE-PR-001,Printer / Scanner,HP,LaserJet Enterprise MFP,PRDEMO001,,,,Shared / Office,45453,46548,Firmware 6.2,Active,N/A,N/A,Current,46249,46254,Active,Compliant,Pooraka shared printer
UE-PR-002,Printer / Scanner,Canon,imageRUNNER ADVANCE,PRDEMO002,,,,Shared / Office,45540,46635,Firmware 4.8,Active,N/A,N/A,Current,46249,46254,Active,Compliant,Selections area printer
UE-NW-001,Network Device,Ubiquiti,UniFi Dream Machine Pro,NWDEMO001,,,,Shared / Office,45394,46489,UniFi OS 4.x,Active,N/A,Healthy,Current,46256,46256,Active,Compliant,Demo core network appliance
UE-BK-001,Backup Device,Synology,DiskStation DS923+,BKDEMO001,,,,Shared / Office,45371,46466,DSM 7.x,Active,Enabled,Healthy,Current,46255,46255,Active,Compliant,Demo local backup appliance
